"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2025","54.11","54.17","54.97","54.11","21.01M","-0.13%"
"08/06/2025","51.95","52.66","52.76","51.91","17.89M","-4.00%"
"08/07/2025","52.28","52.27","52.64","52.07","20.28M","0.63%"
"08/08/2025","53.51","52.36","53.81","52.35","24.18M","2.37%"
"08/11/2025","53.45","53.60","54.09","53.43","22.27M","-0.11%"
"08/12/2025","54.01","54.05","54.27","53.81","25.83M","1.05%"
"08/13/2025","54.09","54.30","54.50","53.94","19.69M","0.14%"
"08/14/2025","53.42","53.55","53.61","53.08","42.81M","-1.24%"
"08/15/2025","53.32","53.46","53.58","53.00","32.47M","-0.19%"
"08/18/2025","53.20","53.10","53.71","53.03","12.72M","-0.23%"
"08/19/2025","53.24","53.51","53.68","53.00","17.67M","0.08%"
"08/20/2025","53.00","52.90","53.27","52.86","9.66M","-0.45%"
"08/21/2025","53.45","53.02","53.53","52.95","10.78M","0.85%"
"08/22/2025","54.79","53.43","54.89","53.31","20.67M","2.51%"
"08/25/2025","54.92","55.17","55.40","54.74","10.38M","0.24%"
"08/26/2025","55.41","54.82","55.41","54.68","18.81M","0.89%"
"08/27/2025","55.38","55.22","55.53","55.12","8.75M","-0.05%"
"08/28/2025","55.40","56.00","56.19","55.33","22.03M","0.04%"
"08/29/2025","55.56","55.49","55.83","55.45","13.85M","0.29%"
"09/01/2025","55.60","55.14","55.60","54.81","7.73M","0.07%"
"09/02/2025","55.39","55.11","55.56","55.04","9.52M","-0.38%"
"09/03/2025","55.60","55.39","55.82","55.24","11.79M","0.38%"
"09/04/2025","55.71","55.85","56.16","55.55","8.43M","0.20%"
"09/05/2025","56.22","56.20","56.67","56.02","14.00M","0.92%"
"09/08/2025","56.36","56.23","56.62","56.23","9.67M","0.25%"
"09/09/2025","56.19","56.74","57.52","56.05","24.27M","-0.30%"
"09/10/2025","56.58","56.47","57.05","56.28","13.45M","0.69%"
"09/11/2025","57.02","56.45","57.27","56.31","14.10M","0.78%"
"09/12/2025","57.00","56.70","57.43","56.70","12.29M","-0.04%"
"09/15/2025","57.50","57.48","57.55","56.98","12.43M","0.88%"
"09/16/2025","57.70","57.77","58.06","57.19","15.60M","0.35%"
"09/17/2025","57.80","57.54","58.02","57.36","23.09M","0.17%"
"09/18/2025","57.69","57.84","58.08","57.40","17.60M","-0.19%"
"09/19/2025","57.92","57.97","58.19","57.55","25.16M","0.40%"
"09/22/2025","58.00","57.82","58.44","57.81","21.32M","0.14%"
"09/23/2025","57.67","58.00","58.39","57.66","17.63M","-0.57%"
"09/24/2025","57.89","57.95","58.14","57.67","12.99M","0.38%"
"09/25/2025","58.21","58.19","58.55","58.04","13.59M","0.55%"
"09/26/2025","57.09","57.74","57.94","56.54","29.03M","-1.92%"
"09/29/2025","57.28","57.50","57.75","57.13","15.56M","0.33%"
"09/30/2025","57.58","57.67","57.78","57.09","18.26M","0.52%"
"10/01/2025","58.31","57.76","58.67","57.76","18.26M","1.27%"
"10/02/2025","58.70","58.36","58.86","58.08","14.75M","0.67%"
"10/03/2025","58.59","58.70","59.12","58.50","19.23M","-0.19%"
"10/06/2025","59.59","58.81","59.97","58.80","26.05M","1.71%"
"10/07/2025","58.75","59.50","59.62","58.75","26.04M","-1.41%"
"10/08/2025","59.20","59.12","59.39","58.89","24.49M","0.77%"
"10/09/2025","59.11","59.86","60.38","59.11","18.16M","-0.15%"
"10/10/2025","58.87","59.57","59.80","58.87","22.95M","-0.41%"
"10/13/2025","59.75","59.67","60.06","59.55","23.27M","1.49%"
"10/14/2025","59.75","59.30","60.13","59.22","19.29M","0.00%"
"10/15/2025","60.86","59.49","60.98","59.46","45.00M","1.86%"
"10/16/2025","60.30","60.61","60.93","60.07","21.30M","-0.92%"
"10/17/2025","60.13","59.90","60.30","59.80","17.30M","-0.28%"
"10/20/2025","60.90","60.14","61.35","60.14","17.72M","1.28%"
"10/21/2025","60.80","60.65","61.05","60.57","13.40M","-0.16%"
"10/22/2025","61.88","61.21","62.24","61.18","25.25M","1.78%"
"10/23/2025","61.76","62.22","62.54","61.67","11.21M","-0.19%"
"10/24/2025","61.73","61.99","62.13","61.33","11.12M","-0.05%"
"10/27/2025","61.66","62.06","62.16","61.40","12.01M","-0.11%"
"10/28/2025","62.20","61.66","62.54","61.58","15.78M","0.88%"
"10/29/2025","63.33","62.82","63.69","62.71","30.81M","1.82%"
"10/30/2025","63.81","63.11","64.00","62.93","25.51M","0.76%"
"10/31/2025","65.26","64.28","65.55","63.87","38.95M","2.27%"
"11/03/2025","65.35","65.10","65.39","64.65","16.99M","0.14%"
"11/04/2025","64.62","64.85","65.01","64.03","22.06M","-1.12%"
"11/05/2025","65.73","64.61","66.17","64.50","22.51M","1.72%"
"11/06/2025","65.50","65.76","66.05","65.26","15.94M","-0.35%"
"11/07/2025","64.78","64.85","64.86","64.02","20.78M","-1.10%"
"11/10/2025","65.21","65.06","65.54","64.91","12.69M","0.66%"
"11/11/2025","65.04","65.21","65.66","64.76","25.50M","-0.26%"
"11/12/2025","65.76","65.26","65.95","65.26","26.55M","1.11%"
"11/13/2025","65.67","65.76","66.45","65.31","19.06M","-0.14%"
"11/14/2025","65.27","64.85","65.54","64.61","16.36M","-0.61%"
"11/17/2025","65.22","65.60","65.77","64.91","20.15M","-0.08%"
"11/18/2025","65.02","64.45","65.29","64.30","22.47M","-0.31%"
"11/19/2025","64.95","65.02","65.26","64.70","16.52M","-0.11%"
"11/21/2025","65.16","64.55","65.27","64.13","20.21M","0.32%"
"11/24/2025","65.09","65.01","65.52","64.78","20.46M","-0.11%"
"11/25/2025","65.60","65.16","65.91","65.16","18.28M","0.78%"
"11/26/2025","66.58","65.99","66.89","65.92","33.41M","1.49%"
"11/27/2025","66.33","66.50","66.65","66.14","9.74M","-0.38%"
"11/28/2025","67.40","67.70","67.81","67.04","45.99M","1.61%"
"12/01/2025","67.92","67.80","68.13","67.50","15.66M","0.77%"
"12/02/2025","68.48","68.10","68.72","67.76","22.57M","0.82%"
"12/03/2025","70.69","68.86","71.10","68.82","42.36M","3.23%"
"12/04/2025","71.92","70.70","72.39","70.69","38.02M","1.74%"
"12/05/2025","66.73","68.38","68.73","66.44","40.18M","-7.22%"
"12/08/2025","66.27","66.92","67.34","66.03","20.86M","-0.68%"
"12/09/2025","66.31","65.66","66.93","65.47","23.08M","0.06%"
"12/10/2025","67.53","66.76","67.80","66.76","24.45M","1.83%"
"12/11/2025","68.42","67.22","68.77","66.96","25.69M","1.32%"
"12/12/2025","68.61","67.75","68.98","67.72","36.48M","0.28%"
"12/15/2025","69.03","68.65","69.39","68.50","16.84M","0.61%"
"12/16/2025","69.29","69.33","70.03","69.26","21.95M","0.38%"
"12/17/2025","70.17","69.64","70.77","69.44","29.38M","1.27%"
"12/18/2025","70.35","70.60","71.12","70.31","18.43M","0.26%"
"12/19/2025","70.85","70.50","70.93","70.38","37.02M","0.71%"
"12/22/2025","72.92","71.03","73.37","70.81","27.85M","2.92%"
"12/23/2025","72.90","73.23","73.53","72.58","17.14M","-0.03%"
"12/26/2025","73.12","72.86","73.35","72.62","16.35M","0.30%"
"12/29/2025","72.12","73.19","73.74","71.70","19.96M","-1.37%"
"12/30/2025","71.96","72.50","72.84","71.91","17.09M","-0.22%"
"01/02/2026","72.38","72.33","72.55","71.65","28.40M","0.58%"
"01/05/2026","73.12","72.40","73.50","72.30","24.96M","1.02%"
"01/06/2026","75.87","73.45","75.99","72.88","39.54M","3.76%"
"01/07/2026","76.32","76.10","77.34","75.62","41.50M","0.59%"
"01/08/2026","75.58","75.80","75.80","74.19","31.89M","-0.97%"
"01/09/2026","74.72","74.90","75.71","74.20","24.80M","-1.14%"
"01/12/2026","74.74","75.00","75.47","74.51","13.13M","0.03%"
"01/13/2026","75.35","74.47","76.05","74.28","24.54M","0.82%"
"01/14/2026","78.92","75.84","79.09","75.64","44.23M","4.74%"
"01/15/2026","78.85","78.90","79.64","78.51","35.50M","-0.09%"
"01/16/2026","78.88","78.39","78.88","77.57","45.69M","0.04%"
"01/19/2026","78.57","78.52","78.65","77.87","10.68M","-0.39%"
"01/20/2026","80.08","77.83","80.21","77.41","31.20M","1.92%"
"01/21/2026","82.50","80.99","82.80","80.50","83.13M","3.02%"
"01/22/2026","82.98","82.50","84.40","82.08","62.52M","0.58%"
"01/23/2026","85.02","83.75","85.74","83.69","25.35M","2.46%"
